rank,artist,song
1,Barbra Streisand,The Way We Were
2,Terry Jacks,Seasons In The Sun
3,Love Unlimited Orchestra,Love's Theme
4,Redbone,Come And Get Your Love
5,Jackson 5,Dancing Machine
7,MFSB,Tsop
8,Ray Stevens,The Streak
9,Elton John,Bennie And The Jets
10,Mac Davis,One Hell Of A Woman
11,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do)
12,Kool & The Gang,Jungle Boogie
13,Maria Muldaur,Midnight At The Oasis
14,The Stylistics,You Make Me Feel Brand New
15,Al Wilson,Show And Tell
17,David Essex,Rock On
18,John Denver,Sunshine On My Shoulders
20,Blue Swede,Hooked On A Feeling
22,Paul McCartney And Wings,Band On The Run
23,Charlie Rich,The Most Beautiful Girl
24,Jim Croce,Time In A Bottle
25,John Denver,ANNIE'S SONG
27,Olivia Newton-John,Let Me Be There
28,Gordon Lightfoot,Sundown
29,Andy Kim,Rock Me Gently
30,Eddie Kendricks,Boogie Down
31,Ringo Starr,You're Sixteen
32,Olivia Newton-John,If You Love Me (let Me Know)
33,Cher,Dark Lady
35,Roberta Flack,Feel Like Makin' Love
36,The Main Ingredient,Just Don't Want To Be Lonely
37,Billy Preston,Nothing From Nothing
39,Carpenters,Top Of The World
40,The Steve Miller Band,THE JOKER
41,Gladys Knight And The Pips,I've Got To Use My Imagination
42,Three Dog Night,The Show Must Go On
44,Stevie Wonder,Living For The City
46,Dionne Warwick And The Spinners,Then Came You
47,Paper Lace,The Night Chicago Died
48,Marvin Hamlisch,The Entertainer
49,ABBA,Waterloo
50,The Hollies,The Air That I Breathe
51,Steely Dan,Rikki Don't Lose That Number
53,Joni Mitchell,Help Me
54,Anne Murray,You Won't See Me
57,Helen Reddy,You And Me Against The World
60,William DeVaughn,Be Thankful For What You Got
61,Johnny Bristol,Hang On In There Baby
62,Mocedades,Eres Tu (Touch The Wind)
64,Golden Earring,Radar Love
65,Dave Loggins,Please Come To Boston
66,Wet Willie,Keep On Smilin'
67,Bobby Womack,Lookin' For A Love
68,The O'Jays,Put Your Hands Together
69,Gladys Knight And The Pips,On And On
70,Cat Stevens,Oh Very Young
71,Helen Reddy,Leave Me Alone (ruby Red Dress)
72,Elton John,Goodbye Yellow Brick Road
74,Ringo Starr,Oh My My
75,The O'Jays,For The Love Of Money
76,Eric Clapton,I Shot The Sheriff
77,Paul McCartney And Wings,Jet
78,Elton John,Don't Let The Sun Go Down On Me
79,Mike Oldfield,Tubular Bells
80,Anne Murray,Love Song
82,Todd Rundgren,Hello It's Me
83,Tom T. Hall,I Love
84,The Guess Who,Clap For The Wolfman
85,Jim Croce,I'll Have To Say I Love You In A Song
86,Sister Janet Mead,The Lord's Prayer
87,Lamont Dozier,Trying To Hold On To My Woman
89,Charlie Rich,A Very Special Love Song
90,Jim Stafford,My Girl Bill
91,Paul McCartney And Wings,Helen Wheels
92,Diana Ross And Marvin Gaye,My Mistake Was To Love You
93,Jim Stafford,Wildwood Weed
94,First Class,Beach Baby
95,War,Me And Baby Brother
96,The Stylistics,Rockin' Roll Baby
97,Olivia Newton-John,I Honestly Love You
98,Chicago,Call On Me
99,Fancy,Wild Thing
