rank,artist,song
1,Chicago,Look Away
2,Bobby Brown,My Prerogative
3,Poison,Every Rose Has Its Thorn
4,Paula Abdul,Straight Up
5,Janet Jackson,Miss You Much
6,Paula Abdul,Cold Hearted
9,Will To Power,"Baby, I Love Your Way/Freebird Medley"
10,Anita Baker,GIVING YOU THE BEST THAT I GOT
11,Richard Marx,Right Here Waiting
12,Boy Meets Girl,Waiting For A Star To Fall
13,Debbie Gibson,Lost In Your Eyes
14,Gloria Estefan,Don't Wanna Lose You
15,Warrant,Heaven
16,Milli Vanilli,Girl I'm Gonna Miss You
17,Roxette,The Look
20,Phil Collins,Two Hearts
21,Milli Vanilli,Blame It On The Rain
22,Roxette,Listen To Your Heart
23,Bon Jovi,I'll Be There For You
24,Simply Red,If You Don't Know Me By Now
25,Madonna,Like A Prayer
26,New Kids On The Block,I'll Be Loving You (Forever)
27,Breathe,How Can I Fall?
28,Milli Vanilli,Baby Don't Forget My Number
29,Martika,Toy Soldiers
30,Paula Abdul,Forever Your Girl
31,Mike + The Mechanics,The Living Years
33,Tone-Loc,Wild Thing
34,Bad English,When I See You Smile
35,Cher,If I Could Turn Back Time
36,Neneh Cherry,Buffalo Stance
37,Sheriff,When I'm With You
38,Taylor Dayne,Don't Rush Me
39,Bon Jovi,Born To Be My Baby
40,Fine Young Cannibals,Good Thing
41,Sheena Easton,The Lover In Me
42,Young M.C.,Bust A Move
46,Jody Watley,Real Love
48,Bobby Brown,Every Little Step
49,New Kids On The Block,Hangin' Tough
50,Rod Stewart,My Heart Can't Tell You No
52,New Kids On The Block,You Got It (The Right Stuff)
53,Def Leppard,Armageddon It
54,Richard Marx,Satisfied
55,Madonna,Express Yourself
56,Dino,I Like It
57,Donny Osmond,Soldier Of Love
58,Tears For Fears,Sowing The Seeds Of Love
59,Madonna,Cherish
60,White Lion,When The Children Cry
61,Skid Row,18 And Life
62,Duran Duran,I Don't Want Your Love
63,Thirty Eight Special,SECOND CHANCE
64,Karyn White,The Way You Love Me
65,Tone-Loc,Funky Cold Medina
67,Natalie Cole,Miss You Like Crazy
68,The Cure,Love Song
69,Karyn White,Secret Rendezvous
70,The Jeff Healey Band,Angel Eyes
71,Guns N' Roses,Patience
72,Eddie Money,Walk On Water
73,New Kids On The Block,Cover Girl
74,Guns N' Roses,Welcome To The Jungle
75,Surface,Shower Me With Your Love
76,R.E.M.,Stand
77,Lita Ford (Duet With Ozzy Osbourne),Close My Eyes Forever
78,Tiffany,All This Time
80,Bobby Brown,Roni
81,Aerosmith,Love In An Elevator
82,Bon Jovi,Lay Your Hands On Me
83,When In Rome,The Promise
84,Edie Brickell & New Bohemians,What I Am
85,Boys Club,I Remember Holding You
86,Guns N' Roses,Paradise City
87,Samantha Fox,I Wanna Have Some Fun
88,Rick Astley,She Wants To Dance With Me
89,Vanessa Williams,Dreamin'
90,Babyface,It's No Crime
91,Alice Cooper,Poison
92,Donna Summer,THIS TIME I KNOW IT's FOR REAL
93,Michael Jackson,Smooth Criminal
95,Bobby Brown,Rock Wit'cha
97,Expose,What You Don't Know
99,Don Henley,The End Of The Innocence
100,Soul II Soul (Featuring Caron Wheeler),Keep On Movin'
