rank,artist,song
1,Dionne & Friends,That's What Friends Are For
3,Klymaxx,I MISS YOU
4,Patti LaBelle & Michael McDonald,ON MY OWN
5,Mr. Mister,Broken Wings
6,Whitney Houston,How Will I Know
7,Eddie Murphy,Party All The Time
8,Survivor,Burning Heart
9,Mr. Mister,Kyrie
10,Robert Palmer,Addicted To Love
11,Whitney Houston,Greatest Love Of All
12,Atlantic Starr,Secret Lovers
13,Carl Anderson & Gloria Loring,Friends And Lovers
15,Pet Shop Boys,West End Girls
16,Billy Ocean,There'll Be Sad Songs (To Make You Cry)
17,Simple Minds,Alive And Kicking
18,Heart,Never
19,Prince And The Revolution,Kiss
20,Steve Winwood,Higher Love
21,Huey Lewis & The News,Stuck With You
22,Simply Red,Holding Back The Years
23,Peter Gabriel,Sledgehammer
24,Starship,Sara
25,The Human League,Human
26,Nu Shooz,I Can't Wait
28,Falco,Rock Me Amadeus
29,Madonna,Papa Don't Preach
30,Bon Jovi,You Give Love A Bad Name
32,Janet Jackson,When I Think Of You
33,Heart,These Dreams
35,Madonna,Live To Tell
36,Belinda Carlisle,Mad About You
37,Level 42,Something About You
38,Bananarama,Venus
39,Lionel Richie,Dancing On The Ceiling
40,Miami Sound Machine,Conga
41,Cyndi Lauper,True Colors
42,Kenny Loggins,Danger Zone
43,Janet Jackson,What Have You Done For Me Lately
44,Howard Jones,No One Is To Blame
45,Sly Fox,Let's Go All The Way
47,Miami Sound Machine,Words Get In the Way
49,Dire Straits,Walk Of Life
50,Boston,Amanda
51,Stacey Q,Two Of Hearts
52,The Jets,Crush On You
53,Orchestral Manoeuvres In The Dark,If You Leave
54,Genesis,Invisible Touch
55,Sade,The Sweetest Taboo
56,INXS,What You Need
57,Stevie Nicks,Talk To Me
58,Janet Jackson,Nasty
62,The Outfield,Your Love
63,Wham!,I'm Your Man
64,Scritti Politti,Perfect Way
65,James Brown,Living In America
68,Cameo,Word Up
69,Van Halen,Why Can't This Be Love
71,Tina Turner,Typical Male
73,Baltimora,Tarzan Boy
76,Madonna,True Blue
77,Timex Social Club,Rumors
78,The Dream Academy,Life In A Northern Town
79,Miami Sound Machine,Bad Boy
80,ZZ Top,Sleeping Bag
81,The Cars,Tonight She Comes
83,Sheila E.,A Love Bizarre
84,Genesis,Throwing It All Away
85,Regina,Baby Love
86,Arcadia,Election Day
87,Elton John,Nikita
88,Phil Collins,Take Me Home
89,Run-D.M.C.,Walk This Way
90,Anita Baker,Sweet Love
91,The Moody Blues,Your Wildest Dreams
92,Paul McCartney,Spies Like Us
93,Starpoint,Object Of My Desire
94,Daryl Hall,Dreamtime
95,Force M.D.'s,Tender Love
96,Thompson Twins,King For A Day
97,Lionel Richie,Love Will Conquer All
98,George Michael,A Different Corner
99,Toto,I'll Be Over You
100,Stevie Wonder,Go Home
