rank,artist,song
1,Pharrell Williams,Happy
2,Katy Perry Featuring Juicy J,Dark Horse
3,John Legend,All Of Me
4,Iggy Azalea Featuring Charli XCX,Fancy
5,OneRepublic,Counting Stars
6,Jason Derulo Featuring 2 Chainz,Talk Dirty
7,MAGIC!,Rude
8,Meghan Trainor,All About That Bass
9,Ariana Grande Featuring Iggy Azalea,Problem
10,Sam Smith,Stay With Me
11,Pitbull Featuring Ke$ha,Timber
12,Bastille,Pompeii
13,Taylor Swift,Shake It Off
14,Nico & Vinz,Am I Wrong
15,DJ Snake & Lil Jon,Turn Down For What
16,Eminem Featuring Rihanna,The Monster
17,A Great Big World & Christina Aguilera,Say Something
18,Lorde,Team
19,Passenger,Let Her Go
20,Lorde,Royals
21,Idina Menzel,Let It Go
22,Avicii,Wake Me Up!
23,Imagine Dragons,Demons
24,One Direction,Story Of My Life
25,Sia,Chandelier
26,Iggy Azalea Featuring Rita Ora,Black Widow
27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
28,Disclosure Featuring Sam Smith,Latch
29,Maroon 5,Maps
30,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Loyal
31,American Authors,Best Day Of My Life
32,Tove Lo,Habits (Stay High)
33,Calvin Harris,Summer
34,Charli XCX,Boom Clap
35,Beyonce Featuring Jay Z,Drunk In Love
36,Nicki Minaj,Anaconda
37,Ariana Grande Featuring Zedd,Break Free
38,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,Bailando
39,Ellie Goulding,Burn
40,Jason Derulo Featuring Snoop Dogg,Wiggle
41,Clean Bandit Featuring Jess Glynne,Rather Be
42,Jeremih Featuring YG,Don't Tell 'Em
43,Kid Ink Featuring Chris Brown,Show Me
44,Miley Cyrus,Wrecking Ball
45,Justin Timberlake,Not A Bad Thing
46,Katy Perry,Roar
47,Paramore,Ain't It Fun
48,Aloe Blacc,The Man
49,Florida Georgia Line Featuring Luke Bryan,This Is How We Roll
50,MKTO,Classic
51,Coldplay,A Sky Full Of Stars
52,Ed Sheeran,Don't
53,Trey Songz,Na Na
54,Bobby Shmurda,Hot Boy
55,Drake Featuring Majid Jordan,"Hold On, We're Going Home"
56,Ed Sheeran,Sing
57,Imagine Dragons,Radioactive
58,YG Featuring Jeezy & Rich Homie Quan,My Hitta
59,Echosmith,Cool Kids
60,Avicii,Hey Brother
61,Jason Derulo,Trumpets
62,Maroon 5,Animals
63,Jason Aldean,Burnin' It Down
64,Luke Bryan,Play It Again
65,Tinashe Featuring ScHoolboy Q,2 On
66,Florida Georgia Line,Dirt
67,OneRepublic,Love Runs Out
68,Brantley Gilbert,Bottoms Up
69,Becky G,Shower
70,Rixton,Me And My Broken Heart
71,Martin Garrix,Animals
72,Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle
73,Kenny Chesney,American Kids
74,Sara Bareilles,Brave
75,The Neighbourhood,Sweater Weather
76,Sam Hunt,Leave The Night On
77,Chris Brown Featuring Usher & Rick Ross,New Flame
78,Michael Jackson & Justin Timberlake,Love Never Felt So Good
79,Dierks Bentley,Drunk On A Plane
80,Katy Perry,Birthday
81,Lady Antebellum,Bartender
82,Naughty Boy Featuring Sam Smith,La La La
83,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines
84,Lady Gaga Featuring R. Kelly,Do What U Want
85,Shakira Featuring Rihanna,Can't Remember To Forget You
86,5 Seconds Of Summer,Amnesia
87,T.I. Featuring Iggy Azalea,No Mediocre
88,KONGOS,Come With Me Now
89,Lil Wayne Featuring Drake,Believe Me
90,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23
91,Jake Owen,Beachin'
92,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls
93,5 Seconds Of Summer,She Looks So Perfect
94,Zedd Featuring Hayley Williams,Stay The Night
95,Beyonce,Partition
96,ScHoolboy Q Featuring BJ The Chicago Kid,Studio
97,Drake,0 To 100 / The Catch Up
98,Lee Brice,I Don't Dance
99,Miranda Lambert Duet With Carrie Underwood,Somethin' Bad
100,Miley Cyrus,Adore You
