rank,artist,song
1,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road
2,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
3,Halsey,Without Me
4,Billie Eilish,Bad Guy
5,Post Malone,Wow.
6,Marshmello & Bastille,Happier
7,Ariana Grande,7 Rings
8,Khalid,Talk
9,Travis Scott,Sicko Mode
10,Jonas Brothers,Sucker
11,Panic! At The Disco,High Hopes
12,Ariana Grande,"Thank U, Next"
13,Lizzo,Truth Hurts
14,Sam Smith & Normani,Dancing With A Stranger
15,Shawn Mendes & Camila Cabello,Senorita
16,Ed Sheeran & Justin Bieber,I Don't Care
17,"benny blanco, Halsey & Khalid",Eastside
18,Meek Mill Featuring Drake,Going Bad
19,Lady Gaga & Bradley Cooper,Shallow
20,Khalid,Better
21,Chris Brown Featuring Drake,No Guidance
22,Maroon 5 Featuring Cardi B,Girls Like You
23,Ava Max,Sweet But Psycho
24,DaBaby,Suge
25,J. Cole,Middle Child
26,Lil Baby & Gunna,Drip Too Hard
27,Lewis Capaldi,Someone You Loved
28,Lil Tecca,Ran$om
29,Shawn Mendes,If I Can't Have You
30,Post Malone Featuring Young Thug,Goodbyes
31,Kodak Black Featuring Travis Scott & Offset,ZEZE
32,Post Malone,Better Now
33,5 Seconds Of Summer,Youngblood
34,Drake Featuring Rick Ross,Money In The Grave
35,Dan + Shay,Speechless
36,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored"
37,Cardi B & Bruno Mars,Please Me
38,Cardi B,Money
39,Taylor Swift,You Need To Calm Down
40,Lil Nas X,Panini
41,A Boogie Wit da Hoodie,Look Back At It
42,21 Savage,A Lot
43,Taylor Swift Featuring Brendon Urie,ME!
44,Bad Bunny Featuring Drake,MIA
45,Polo G Featuring Lil Tjay,Pop Out
46,Luke Combs,Beautiful Crazy
47,Blueface,Thotiana
48,Juice WRLD,Lucid Dreams
49,Sheck Wes,Mo Bamba
50,Ed Sheeran Featuring Khalid,Beautiful People
51,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky
52,Morgan Wallen,Whiskey Glasses
53,Blake Shelton,God's Country
54,Dean Lewis,Be Alright
55,Mustard & Migos,Pure Water
56,Blanco Brown,The Git Up
57,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki
58,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me
59,Calboy,Envy Me
60,Lauren Daigle,You Say
61,Panic! At The Disco,"Hey Look Ma, I Made It"
62,Post Malone,Circles
63,Luke Combs,Beer Never Broke My Heart
64,"Young Thug, J. Cole & Travis Scott",The London
65,Daddy Yankee & Katy Perry Featuring Snow,Con Calma
66,YNW Melly,Murder On My Mind
67,Billie Eilish,When The Party's Over
68,City Girls,Act Up
69,"Cardi B, Bad Bunny & J Balvin",I Like It
70,SHAED,Trampoline
71,Flipp Dinero,Leave Me Alone
72,Ariana Grande,Breathin
73,Billie Eilish,Bury A Friend
74,Lil Baby,Close Friends
75,Pinkfong,Baby Shark
76,Saweetie,My Type
77,YK Osiris,Worth It
78,Jonas Brothers,Only Human
79,Luke Bryan,Knockin' Boots
80,Ella Mai,Trip
81,Lee Brice,Rumor
82,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin
83,Sam Smith,How Do You Sleep?
84,Lil Baby & DaBaby,Baby
85,Thomas Rhett,Look What God Gave Her
86,Kane Brown,Good As You
87,Offset Featuring Cardi B,Clout
88,Khalid & Normani,Love Lies
89,Marshmello & Kane Brown,One Thing Right
90,Megan Thee Stallion Featuring DaBaby,Cash Shit
91,Dan + Shay,Tequila
92,NLE Choppa,Shotta Flow
93,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer
94,Florida Georgia Line,Talk You Out Of It
95,Bazzi Featuring Camila Cabello,Beautiful
96,Chase Rice,Eyes On You
97,Dan + Shay,All To Myself
98,Ariana Grande & Social House,Boyfriend
99,P!nk,Walk Me Home
100,Juice WRLD,Robbery
