rank,artist,song
1,Justin Bieber,Love Yourself
2,Justin Bieber,Sorry
3,Drake Featuring WizKid & Kyla,One Dance
4,Rihanna Featuring Drake,Work
5,twenty one pilots,Stressed Out
6,Desiigner,Panda
7,Adele,Hello
8,The Chainsmokers Featuring Daya,Don't Let Me Down
9,Justin Timberlake,Can't Stop The Feeling!
10,The Chainsmokers Featuring Halsey,Closer
11,Sia Featuring Sean Paul,Cheap Thrills
12,Lukas Graham,7 Years
13,Rihanna,Needed Me
14,Flo Rida,My House
15,Mike Posner,I Took A Pill In Ibiza
16,Fifth Harmony Featuring Ty Dolla $ign,Work From Home
17,Calvin Harris Featuring Rihanna,This Is What You Came For
18,DNCE,Cake By The Ocean
19,G-Eazy x Bebe Rexha,"Me, Myself & I"
20,twenty one pilots,Ride
21,twenty one pilots,Heathens
22,Zayn,Pillowtalk
23,Shawn Mendes,Stitches
24,Drake,Hotline Bling
25,Major Lazer Featuring Justin Bieber & MO,Cold Water
26,Adele,Send My Love (To Your New Lover)
27,The Chainsmokers Featuring Rozes,Roses
28,Shawn Mendes,Treat You Better
29,Drake Featuring Rihanna,Too Good
30,Future Featuring The Weeknd,Low Life
31,Justin Bieber,What Do You Mean?
32,The Weeknd,The Hills
33,P!nk,Just Like Fire
34,D.R.A.M. Featuring Lil Yachty,Broccoli
35,Bryson Tiller,Don't
36,Ariana Grande,Dangerous Woman
37,Drake & Future,Jumpman
38,gnash Featuring Olivia O'Brien,I Hate U I Love U
39,Alessia Cara,Here
40,Selena Gomez,Same Old Love
41,Drake,Controlla
42,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
43,Charlie Puth,One Call Away
44,James Bay,Let It Go
45,Meghan Trainor,No
46,Zara Larsson & MNEK,Never Forget You
47,DJ Snake Featuring Justin Bieber,Let Me Love You
48,Kent Jones,Don't Mind
49,Florida Georgia Line,H.O.L.Y.
50,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore
51,Ariana Grande,Into You
52,Kiiara,Gold
53,Bryson Tiller,Exchange
54,Fetty Wap Featuring Remy Boyz,679
55,Jeremih,Oui
56,Selena Gomez,Hands To Myself
57,Kevin Gates,2 Phones
58,The Weeknd Featuring Daft Punk,Starboy
59,DJ Khaled Featuring Drake,For Free
60,Flume Featuring Kai,Never Be Like You
61,The Weeknd,In The Night
62,Meghan Trainor,Me Too
63,Elle King,Ex's & Oh's
64,Thomas Rhett,Die A Happy Man
65,Post Malone,White Iverson
66,Nick Jonas Featuring Tove Lo,Close
67,X Ambassadors,Unsteady
68,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain
69,Yo Gotti Featuring Nicki Minaj,Down In The DM
70,Tory Lanez,Luv
71,Beyonce,Sorry
72,The Weeknd,Can't Feel My Face
73,Coldplay,Hymn For The Weekend
74,Tory Lanez,Say It
75,Travis Scott,Antidote
76,Ruth B,Lost Boy
77,Ariana Grande Featuring Nicki Minaj,Side To Side
78,Daya,"Sit Still, Look Pretty"
79,Taylor Swift,Wildest Dreams
80,DJ Snake Featuring Bipolar Sunshine,Middle
81,Ellie Goulding,On My Mind
82,Drake Featuring The Throne,Pop Style
83,Adele,When We Were Young
84,Daya,Hide Away
85,Major Lazer & DJ Snake Featuring MO,Lean On
86,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer
88,Silento,Watch Me
89,Chris Brown,Back To Sleep
90,Usher Featuring Young Thug,No Limit
91,O.T. Genasis Featuring Young Dolph,Cut It
92,Kevin Gates,Really Really
93,Fifth Harmony Featuring Fetty Wap,All In My Head (Flex)
94,Hailee Steinfeld & Grey Featuring Zedd,Starving
95,Coldplay,Adventure Of A Lifetime
96,Tim McGraw,Humble And Kind
97,Future,Wicked
98,Desiigner,Tiimmy Turner
99,Wiz Khalifa Featuring Charlie Puth,See You Again
100,One Direction,Perfect
