rank,artist,song
1,Mark Ronson Featuring Bruno Mars,Uptown Funk!
2,Ed Sheeran,Thinking Out Loud
3,Wiz Khalifa Featuring Charlie Puth,See You Again
4,Fetty Wap,Trap Queen
5,Maroon 5,Sugar
6,WALK THE MOON,Shut Up And Dance
7,Taylor Swift,Blank Space
8,Silento,Watch Me
9,The Weeknd,Earned It (Fifty Shades Of Grey)
10,The Weeknd,The Hills
11,OMI,Cheerleader
12,The Weeknd,Can't Feel My Face
13,Ellie Goulding,Love Me Like You Do
14,Hozier,Take Me To Church
15,Taylor Swift Featuring Kendrick Lamar,Bad Blood
16,Major Lazer & DJ Snake Featuring MO,Lean On
17,Jason Derulo,Want To Want Me
18,Taylor Swift,Shake It Off
19,Skrillex & Diplo With Justin Bieber,Where Are U Now
20,Rachel Platten,Fight Song
21,Fetty Wap Featuring Remy Boyz,679
22,Meghan Trainor,Lips Are Movin
23,Fifth Harmony Featuring Kid Ink,Worth It
24,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be
25,Andy Grammer,"Honey, I'm Good."
26,Sam Smith,I'm Not The Only One
27,Selena Gomez Featuring A$AP Rocky,Good For You
28,Meghan Trainor,All About That Bass
29,Taylor Swift,Style
30,Drake,Hotline Bling
31,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama
32,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.
33,Justin Bieber,What Do You Mean?
34,Ed Sheeran,Photograph
35,Adele,Hello
36,Shawn Mendes,Stitches
37,Tove Lo,Talking Body
38,Nick Jonas,Jealous
39,Pitbull & Ne-Yo,Time Of Our Lives
40,R. City Featuring Adam Levine,Locked Away
41,Natalie La Rose Featuring Jeremih,Somebody
42,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds
43,Fall Out Boy,Centuries
44,Fetty Wap Featuring Monty,My Way
45,Sam Hunt,Take Your Time
46,Maroon 5,Animals
47,Big Sean Featuring E-40,I Don't F**k With You
48,Rihanna,B**** Better Have My Money
49,Rich Homie Quan,Flex (Ooh Ooh Ooh)
50,T-Wayne,Nasty Freestyle
51,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only
52,Sia,Elastic Heart
53,Demi Lovato,Cool For The Summer
54,X Ambassadors,Renegades
55,Usher Featuring Juicy J,I Don't Mind
56,Ariana Grande & The Weeknd,Love Me Harder
57,Taylor Swift,Wildest Dreams
58,Sam Smith,Stay With Me
59,DJ Snake & AlunaGeorge,You Know You Like It
60,Fall Out Boy,Uma Thurman
61,Beyonce,7/11
62,Selena Gomez,The Heart Wants What It Wants
63,Little Big Town,Girl Crush
64,Trey Songz,Slow Motion
65,One Direction,Drag Me Down
66,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter
67,Ariana Grande,One Last Time
68,Nick Jonas,Chains
69,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You
70,Rae Sremmurd,No Type
71,Vance Joy,Riptide
72,Jidenna Featuring Roman GianArthur,Classic Man
73,Elle King,Ex's & Oh's
74,Meghan Trainor,Dear Future Husband
75,Charlie Puth Featuring Meghan Trainor,Marvin Gaye
76,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
77,Tove Lo,Habits (Stay High)
78,James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree
79,O.T. Genasis,CoCo
80,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
81,Sam Smith,Lay Me Down
82,I LOVE MAKONNEN Featuring Drake,Tuesday
83,iLoveMemphis,Hit The Quan
84,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown
85,Sam Hunt,House Party
86,Chris Brown & Tyga,Ayo
87,Luke Bryan,Kick The Dust Up
88,Big Sean Featuring Drake,Blessings
89,George Ezra,Budapest
90,Sia,Chandelier
91,Kelly Clarkson,Heartbeat Song
92,Ed Sheeran,Don't
93,Ella Henderson,Ghost
94,Alessia Cara,Here
95,Mr. Probz,Waves
96,Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness)
97,Ne-Yo Featuring Juicy J,She Knows
98,One Direction,Night Changes
99,Drake,Back To Back
100,Calvin Harris & Disciples,How Deep Is Your Love
