rank,artist,song
1,The Police,Every Breath You Take
2,Michael Jackson,Billie Jean
4,Men At Work,Down Under
5,Michael Jackson,Beat It
6,Bonnie Tyler,Total Eclipse Of The Heart
9,Michael Sembello,Maniac
10,Eurythmics,Sweet Dreams (Are Made Of This)
11,Culture Club,Do You Really Want To Hurt Me
12,Eddie Rabbitt With Crystal Gayle,You And I
14,Bob Seger & The Silver Bullet Band,Shame On The Moon
15,Donna Summer,She Works Hard For The Money
16,Sergio Mendes,Never Gonna Let You Go
17,Duran Duran,Hungry Like The Wolf
18,David Bowie,Let's Dance
19,Golden Earring,Twilight Zone
20,Frida,I Know There's Something Going On
22,Eddy Grant,Electric Avenue
23,Thomas Dolby,She Blinded Me With Science
24,Toto,Africa
25,Prince,Little Red Corvette
28,Styx,Mr. Roboto
29,Lionel Richie,You Are
31,Taco,Puttin' On The Ritz
32,Marvin Gaye,Sexual Healing
33,The Human League,(Keep Feeling) Fascination
35,Men Without Hats,The Safety Dance
36,Toni Basil,Mickey
37,Phil Collins,You Can't Hurry Love
38,Journey,Separate Ways
41,Prince,1999
42,Stray Cats,Stray Cat Strut
43,Billy Joel,Allentown
44,Stevie Nicks,Stand Back
45,Billy Joel,Tell Her About It
46,Naked Eyes,Always Something There To Remind Me
47,Lionel Richie,Truly
48,Don Henley,DIRTY LAUNDRY
50,Kajagoogoo,Too Shy
51,Adam Ant,Goody Two Shoes
52,The Clash,Rock The Casbah
53,Madness,OUR HOUSE
54,Men At Work,Overkill
55,Duran Duran,Is There Something I Should Know
56,Laura Branigan,Gloria
57,Rick Springfield,Affair Of The Heart
58,The Tubes,She's A Beauty
59,Laura Branigan,Solitaire
60,Styx,Don't Let It End
61,Laura Branigan,HOW AM I SUPPOSED TO LIVE WITHOUT YOU
62,David Bowie,China Girl
63,The Kinks,Come Dancing
64,Naked Eyes,"Promises, Promises"
65,Little River Band,The Other Guy
66,Air Supply,MAKING LOVE OUT OF NOTHING AT ALL
69,Toto,I Won't Hold You Back
70,Christopher Cross,All Right
71,Bryan Adams,Straight From The Heart
72,Kenny Loggins,Heart To Heart
73,Lionel Richie,My Love
74,Elton John,I'm Still Standing
75,Loverboy,Hot Girls In Love
76,Men At Work,It's A Mistake
77,Culture Club,I'll Tumble 4 Ya
78,Debarge,All This Love
79,Sammy Hagar,Your Love Is Driving Me Crazy
80,Dionne Warwick,Heartbreaker
81,Journey,Faithfully
82,Joe Jackson,Steppin' Out
83,Quarterflash,Take Me To Heart
84,Stray Cats,(she's) Sexy + 17
85,Champaign,Try Again
86,Shalamar,Dead Giveaway
87,Jackson Browne,Lawyers In Love
88,Moving Pictures,What About Me
89,Michael Jackson,Human Nature
90,Def Leppard,Photograph
91,Musical Youth,Pass The Dutchie
92,Spandau Ballet,True
93,Frank Stallone,Far From Over
95,Stephen Bishop,"It Might Be You (Theme From ""Tootsie"")"
96,Peabo Bryson & Roberta Flack,"Tonight, I Celebrate My Love"
99,Joe Jackson,Breaking Us In Two
100,"Earth, Wind & Fire",Fall In Love With Me
