rank,artist,song
1,Kim Carnes,Bette Davis Eyes
3,Kenny Rogers,Lady
4,John Lennon,Starting Over
5,Rick Springfield,Jessie's Girl
6,Kool & The Gang,Celebration
8,Eddie Rabbitt,I Love A Rainy Night
9,Dolly Parton,9 To 5
10,REO Speedwagon,Keep On Loving You
12,Sheena Easton,Morning Train
13,Smokey Robinson,Being With You
14,Juice Newton,Queen Of Hearts
15,Blondie,Rapture
16,Ray Parker Jr. & Raydio,A Woman Needs Love
17,Blondie,The Tide Is High
18,"Grover Washington, Jr. With Bill Withers",Just The Two Of Us
19,The Pointer Sisters,Slow Hand
20,Climax Blues Band,I Love You
21,John Lennon,Woman
22,A Taste Of Honey,Sukiyaki
23,ABBA,The Winner Takes It All
24,Stars On 45,Medley
26,Neil Diamond,Love On The Rocks
27,Air Supply,Every Woman In The World
28,Air Supply,The One That You Love
29,Barbra Streisand & Barry Gibb,Guilty
30,Styx,The Best Of Times
31,The Oak Ridge Boys,Elvira
32,REO Speedwagon,Take It On The Run
35,Barbra Streisand,Woman In Love
37,Foreigner,URGENT
38,Rod Stewart,Passion
39,Commodores,Lady (You Bring Me Up)
40,Don McLean,Crying
41,Marty Balin,Hearts
42,Diana Ross,It's My Turn
44,Kenny Rogers,I Don't Need You
45,Champaign,How 'bout Us
46,Pat Benatar,Hit Me With Your Best Shot
48,The Alan Parsons Project,Time
49,Bruce Springsteen,Hungry Heart
50,Franke & The Knockouts,Sweetheart
51,Terri Gibbs,Somebody's Knockin'
52,Leo Sayer,More Than I Can Say
53,Tierra,Together
54,Styx,Too Much Time On My Hands
55,Dottie West,What Are We Doin' In Love
56,Journey,Who's Crying Now
57,The Police,"De Do Do Do, De Da Da Da"
58,Gary U.S. Bonds,This Little Girl
59,Stevie Nicks With Tom Petty And The Heartbreakers,Stop Draggin' My Heart Around
60,Delbert McClinton,Giving It Up For Your Love
61,Cliff Richard,A Little In Love
62,Neil Diamond,America
63,John Cougar,Ain't Even Done With The Night
64,Christopher Cross,Arthur's Theme
65,Queen,Another One Bites The Dust
66,The Alan Parsons Project,Games People Play
68,Steve Winwood,While You See A Chance
69,Stevie Wonder,Master Blaster
70,Neil Diamond,Hello Again
71,The Police,Don't Stand So Close To Me
72,Steely Dan,Hey Nineteen
73,Stevie Wonder,I Ain't Gonna Stand For It
74,George Harrison,All Those Years Ago
75,Eddie Rabbitt,Step By Step
76,Billy Squier,THE STROKE
77,Alabama,Feels So Right
79,Dan Fogelberg,Same Old Lang Syne
80,Pablo Cruise,Cool Love
81,Electric Light Orchestra,Hold On Tight
82,John Schneider,It's Now Or Never
83,Pat Benatar,Treat Me Right
84,Santana,Winning
85,Barbra Streisand & Barry Gibb,What Kind Of Fool
86,John Lennon,WATCHING THE WHEELS
87,Heart,Tell It Like It Is
88,Ronnie Milsap,Smokey Mountain Rain
89,Barry Manilow,I Made It Through The Rain
91,Olivia Newton-John And Cliff Richard,Suddenly
92,Sheena Easton,For Your Eyes Only
93,The Beach Boys,The Beach Boys Medley
94,Devo,Whip It
95,Sheena Easton,Modern Girl
96,Gary Wright,Really Wanna Know You
97,Rosanne Cash,Seven Year Ache
98,Diana Ross,I'm Coming Out
99,Boz Scaggs,Miss Sun
100,Andy Gibb,Time Is Time
