rank,artist,song
2,Jim Croce,"Bad, Bad Leroy Brown"
3,Roberta Flack,Killing Me Softly With His Song
4,Marvin Gaye,Let's Get It On
7,Elton John,Crocodile Rock
8,Billy Preston,Will It Go Round In Circles
9,Carly Simon,You're So Vain
10,Diana Ross,Touch Me In The Morning
11,Vicki Lawrence,The Night The Lights Went Out In Georgia
12,Clint Holmes,Playground In My Mind
14,Helen Reddy,Delta Dawn
16,Edgar Winter Group,Frankenstein
18,The Sweet,Little Willy
19,Stevie Wonder,You Are The Sunshine Of My Life
20,Cher,Half Breed
21,The Isley Brothers,That Lady
23,Grand Funk Railroad,We're An American Band
24,Dr. John,"Right Place, Wrong Time"
25,Skylark,Wildflower
26,Stevie Wonder,Superstition
28,Maureen McGovern,The Morning After
29,John Denver,Rocky Mountain High
30,Stealers Wheel,Stuck In The Middle With You
31,Three Dog Night,Shambala
32,The O'Jays,Love Train
35,Eddie Kendricks,Keep On Truckin'
36,Anne Murray,Danny's Song
37,King Harvest,Dancing In The Moonlight
39,Bloodstone,Natural High
40,Seals & Crofts,Diamond Girl
41,The Doobie Brothers,Long Train Running
42,George Harrison,Give Me Love (Give Me Peace On Earth)
43,Sly & The Family Stone,If You Want Me To Stay
44,Jermaine Jackson,Daddy's Home
45,Gladys Knight And The Pips,Neither One Of Us (Wants To Be The First To Say Goodbye)
46,New York City,I'm Doing Fine Now
47,Spinners,Could It Be I'm Falling In Love
48,Elton John,Daniel
49,Gladys Knight And The Pips,Midnight Train To Georgia
50,Deep Purple,Smoke On The Water
52,Charlie Rich,Behind Closed Doors
53,Loggins & Messina,Your Mama Don't Dance
54,Chicago,Feelin' Stronger Every Day
55,War,Cisco Kid
56,Wings,Live And Let Die
58,Johnnie Taylor,I Believe In You
59,Carpenters,Sing
61,Eric Weissberg & Steve Mandell,Dueling Banjos
62,Stevie Wonder,Higher Ground
63,Al Green,Here I Am (Come And Take Me)
65,Curtis Mayfield,Superfly
66,Edward Bear,Last Song
67,Gilbert O'Sullivan,Get Down
68,Steely Dan,Reelin' In The Years
69,Focus,Hocus Pocus
70,Carpenters,Yesterday Once More
71,Bette Midler,Boogie Woogie Bugle Boy
72,Gilbert O'Sullivan,Clair
73,Steely Dan,Do It Again
74,Paul Simon,Kodachrome
75,Timmy Thomas,Why Can't We Live Together
77,Tower Of Power,So Very Hard To Go
80,The Temptations,Masterpiece
81,Helen Reddy,Peaceful
82,Spinners,One Of A Kind (Love Affair)
83,Donna Fargo,Funny Face
84,Ohio Players,Funky Worm
85,The Rolling Stones,ANGIE
87,Lobo,Don't Expect Me To Be Your Friend
88,The Stylistics,Break Up To Make Up
89,Jud Strunk,Daisy A Day
90,Deodato,Also Sprach Zarathustra (2001)
91,Johnny Nash,Stir It Up
92,Pink Floyd,Money
93,War,Gypsy Man
94,War,The World Is A Ghetto
95,The Pointer Sisters,Yes We Can Can
96,Edgar Winter Group,FREE RIDE
97,David Bowie,Space Oddity
98,Albert Hammond,It Never Rains In Southern California
99,Donny Osmond,The Twelfth Of Never
