rank,artist,song
3,Olivia Newton-John,Magic
4,Michael Jackson,Rock With You
5,Captain & Tennille,Do That To Me One More Time
6,Queen,Crazy Little Thing Called Love
8,Lipps Inc.,Funkytown
10,Bette Midler,The Rose
11,Rupert Holmes,Escape
12,Gary Numan,Cars
13,Smokey Robinson,CRUISIN'
15,Air Supply,Lost In Love
16,Elton John,Little Jeannie
17,Christopher Cross,Ride Like The Wind
18,Diana Ross,Upside Down
20,Styx,Babe
21,Billy Preston & Syreeta,With You I'm Born Again
22,The Manhattans,Shining Star
23,Commodores,Still
25,Dr. Hook,Sexy Eyes
26,Robbie Dupree,Steal Away
27,Ambrosia,Biggest Part Of Me
28,Kenny Loggins,This Is It
30,Jermaine Jackson,Let's Get Serious
32,Christopher Cross,Sailing
33,Dan Fogelberg,Longer
34,Kenny Rogers,Coward Of The County
35,Kool & The Gang,Ladies Night
36,Kool & The Gang,TOO HOT
39,Kim Carnes,More Love
40,M,Pop Muzik
41,Pretenders,Brass In Pocket
42,"Ray, Goodman & Brown",Special Lady
43,Stevie Wonder,Send One Your Love
44,Shalamar,The Second Time Around
45,Cliff Richard,We Don't Talk Anymore
46,The Brothers Johnson,Stomp
47,Eagles,Heartache Tonight
48,Rocky Burnette,Tired Of Toein' The Line
49,Dr. Hook,Better Love Next Time
50,Rupert Holmes,Him
52,Donna Summer,On The Radio
53,The Rolling Stones,Emotional Rescue
54,Herb Alpert,Rise
55,Air Supply,All Out Of Love
56,Little River Band,Cool Change
57,J.D. Souther,You're Only Lonely
58,Andy Gibb,Desire
59,Pete Townshend,Let My Love Open The Door
60,Steve Forbert,Romeo's Tune
61,Anne Murray,Daydream Believer
62,Eagles,I Can't Tell You Why
63,Isaac Hayes,Don't Let Go
65,Michael Jackson,She's Out Of My Life
66,Irene Cara,Fame
68,Linda Ronstadt,How Do I Make You
69,Benny Mardones,Into The Night
70,Pure Prairie League,Let Me Love You Tonight
71,Genesis,Misunderstanding
72,The Dirt Band,An American Dream
73,Carole King,One Fine Day
74,Donna Summer,DIM ALL THE LIGHTS
75,Billy Joel,You May Be Right
76,Neil Sedaka & Dara Sedaka,Should've Never Let You Go
77,Charlie Dore,Pilot Of The Airwaves
78,Linda Ronstadt,Hurt So Bad
79,Michael Jackson,Off The Wall
80,Peaches & Herb,I Pledge My Love
81,Eagles,The Long Run
82,Mickey Gilley,Stand By Me
83,Pat Benatar,Heartbreaker
85,Eddie Rabbitt,Drivin' My Life Away
86,Supertramp,Take The Long Way Home
87,Fleetwood Mac,Sara
89,Boz Scaggs,Jo Jo
90,Neil Diamond,September Morn'
91,George Benson,Give Me The Night
92,Anne Murray,Broken Hearted Me
93,Kenny Rogers,You Decorated My Life
94,Fleetwood Mac,TUSK
95,Prince,I Wanna Be Your Lover
96,The Charlie Daniels Band,In America
97,Boz Scaggs,Breakdown Dead Ahead
98,Barry Manilow,Ships
99,Joe Walsh,All Night Long
