rank,artist,song
2,Gilbert O'Sullivan,Alone Again (Naturally)
3,Don McLean,American Pie (Parts I & II)
4,Nilsson,Without You
6,Joe Tex,I Gotcha
7,Bill Withers,Lean On Me
8,Mac Davis,Baby Don't Get Hooked On Me
9,Melanie,Brand New Key
10,Wayne Newton,Daddy Don't You Walk So Fast
11,Al Green,Let's Stay Together
12,Looking Glass,Brandy (You're A Fine Girl)
13,Chi-Lites,Oh Girl
14,Gallery,Nice To Be With You
15,Chuck Berry,My Ding-A-Ling
17,Neil Young,Heart Of Gold
18,The Stylistics,"Betcha By Golly, Wow"
19,The Staple Singers,I'll Take You There
20,Michael Jackson,Ben
23,War,Slippin' Into Darkness
26,America,A Horse With No Name
27,Neil Diamond,Song Sung Blue
28,Hot Butter,Popcorn
29,The Main Ingredient,Everybody Plays The Fool
30,Climax,Precious And Few
32,The Moody Blues,Nights In White Satin
33,Raspberries,Go All The Way
34,Cornelius Brothers & Sister Rose,Too Late To Turn Back Now
35,The O'Jays,Back Stabbers
38,Jonathan Edwards,Sunshine
39,Badfinger,Day After Day
40,Elton John,Rocket Man
41,Michael Jackson,Rockin' Robin
42,Daniel Boone,Beautiful Sunday
43,Dennis Coffey & The Detroit Guitar Band,Scorpio
44,Cat Stevens,Morning Has Broken
46,Rick Nelson,Garden Party
47,Johnny Nash,I Can See Clearly Now
48,Elvis Presley,Burning Love
49,Betty Wright,Clean Up Woman
50,Argent,Hold Your Head Up
52,Bread,Everything I Own
53,The Dramatics,In The Rain
54,Al Green,Look What You Done For Me
56,Roberta Flack & Donny Hathaway,Where Is The Love
57,T. Rex,Bang A Gong (Get It On)
58,Paul Simon,Mother And Child Reunion
59,Al Green,I'm Still In Love With You
60,Derek & The Dominos,Layla
61,Aretha Franklin,Day Dreaming
63,Three Dog Night,Black And White
65,Carpenters,Hurting Each Other
66,Nilsson,Coconut
67,Beverly Bremers,Don't Say You Don't Remember
68,Donny Osmond,Puppy Love
69,Jim Croce,You Don't Mess Around With Jim
70,Commander Cody & His Lost Planet Airmen,Hot Rod Lincoln
72,Apollo 100,Joy
73,Carly Simon,Anticipation
74,Three Dog Night,Never Been To Spain
76,Alice Cooper,School's Out
77,Chicago,Saturday In The Park
78,Joe Simon,Drowning In The Sea Of Love
79,Bill Withers,Use Me
80,Sly & The Family Stone,Family Affair
84,Joe Simon,Power Of Love
85,Jerry Butler & Brenda Lee Eager,Ain't Understanding Mellow
86,Harry Chapin,Taxi
87,Bobby Vinton,Sealed With A Kiss
88,Todd Rundgren,I SAW THE LIGHT
89,Sailcat,Motorcycle Mama
90,Godspell,Day By Day
91,Yes,Roundabout
92,Jackson Browne,Doctor My Eyes
95,Detroit Emeralds,Baby Let Me Take You (In My Arms)
96,Rick Springfield,Speak To The Sky
