rank,artist,song
1,Three Dog Night,Joy To The World
2,Rod Stewart,Maggie May/Reason To Believe
3,Carole King,It's Too Late/I Feel The Earth Move
5,Bee Gees,How Can You Mend A Broken Heart
7,Donny Osmond,Go Away Little Girl
9,The Temptations,Just My Imagination (Running Away With Me)
12,Al Green,Tired Of Being Alone
13,The Honey Cone,Want Ads
15,Cornelius Brothers & Sister Rose,Treat Her Like A Lady
16,The Rolling Stones,BROWN SUGAR
17,James Taylor,You've Got A Friend
18,Jean Knight,Mr. Big Stuff
19,Lee Michaels,Do You Know What I Mean
20,Joan Baez,The Night They Drove Old Dixie Down
21,Marvin Gaye,What's Going On
22,Paul & Linda McCartney,Uncle Albert/Admiral Halsey
24,Five Man Electrical Band,Signs
25,Tom Jones,She's A Lady
28,Jerry Reed,Amos Moses
30,Carpenters,Superstar
31,George Harrison,My Sweet Lord/Isn't It A Pity
33,Ocean,Put Your Hand In The Hand
35,Carpenters,For All We Know
36,Gordon Lightfoot,If You Could Read My Mind
37,Sammi Smith,Help Me Make It Through The Night
40,Jackson 5,Never Can Say Goodbye
41,Lynn Anderson,Rose Garden
42,"Hamilton, Joe Frank & Reynolds",Don't Pull Your Love
43,Ringo Starr,It Don't Come Easy
44,Nitty Gritty Dirt Band,Mr. Bojangles
46,The Dramatics,Whatcha See Is Whatcha Get
47,Carly Simon,That's The Way I've Always Heard It Should Be
48,Stevie Wonder,If You Really Love Me
49,Aretha Franklin,Spanish Harlem
52,Aretha Franklin,Bridge Over Troubled Water
54,Tommy James,Draggin' The Line
55,Ike & Tina Turner,Proud Mary
56,Chicago,Beginnings/Colour My World
58,Stampeders,Sweet City Woman
61,Bread,If
62,Marvin Gaye,"Mercy, Mercy Me (The Ecology)"
65,Freda Payne,Bring The Boys Home
66,Rare Earth,I Just Want To Celebrate
67,Delaney & Bonnie & Friends,Never Ending Song Of Love
68,Freddie Hart,Easy Loving
69,Three Dog Night,Liar
70,The Honey Cone,Stick-Up
73,Cat Stevens,Wild World
74,Jerry Reed,"When You're Hot, You're Hot"
76,Olivia Newton-John,If Not For You
77,King Floyd,Groove Me
78,Bobby Goldsboro,Watching Scotty Grow
79,Matthews' Southern Comfort,Woodstock
80,Judy Collins,Amazing Grace
82,Bee Gees,Lonely Days
85,Denise LaSalle,Trapped By A Thing Called Love
86,Jackson 5,Mama's Pearl
88,The Partridge Family,I Woke Up In Love This Morning
90,Gladys Knight And The Pips,If I Were Your Woman
92,Paul Stookey,Wedding Song (There Is Love)
95,Richie Havens,Here Comes The Sun
96,Wadsworth Mansion,Sweet Mary
97,Brenda & The Tabulations,Right On The Tip Of My Tongue
99,The Doors,Riders On The Storm
100,Perry Como,It's Impossible
