rank,artist,song
1,Ke$ha,TiK ToK
2,Lady Antebellum,Need You Now
3,Train,"Hey, Soul Sister"
4,Katy Perry Featuring Snoop Dogg,California Gurls
5,Usher Featuring will.i.am,OMG
6,B.o.B Featuring Hayley Williams,Airplanes
7,Eminem Featuring Rihanna,Love The Way You Lie
8,Lady Gaga,Bad Romance
9,Taio Cruz,Dynamite
10,Taio Cruz Featuring Ludacris,Break Your Heart
11,B.o.B Featuring Bruno Mars,Nothin' On You
12,Enrique Iglesias Featuring Pitbull,I Like It
13,Young Money Featuring Lloyd,BedRock
14,Jason Derulo,In My Head
15,Rihanna,Rude Boy
16,Lady Gaga Featuring Beyonce,Telephone
17,Katy Perry,Teenage Dream
18,Bruno Mars,Just The Way You Are
19,Mike Posner,Cooler Than Me
20,The Black Eyed Peas,Imma Be
21,Jay-Z + Alicia Keys,Empire State Of Mind
22,Usher Featuring Pitbull,DJ Got Us Fallin' In Love
23,Travie McCoy Featuring Bruno Mars,Billionaire
24,Eminem,Not Afraid
25,Iyaz,Replay
26,David Guetta Featuring Akon,Sexy Chick
27,The Script,Breakeven
28,Ke$ha,Your Love Is My Drug
29,The Black Eyed Peas,I Gotta Feeling
30,Owl City,Fireflies
31,Trey Songz Featuring Fabolous,Say Aah
32,Drake,Find Your Love
33,Lady Gaga,Alejandro
34,Jason Derulo,Ridin' Solo
35,Nelly,Just A Dream
36,Ludacris,How Low
37,Far*East Movement Featuring Cataracs & Dev,Like A G6
38,Timbaland Featuring Justin Timberlake,Carry Out
39,Michael Buble,Haven't Met You Yet
40,Flo Rida Featuring David Guetta,Club Can't Handle Me
41,Jay Sean Featuring Lil Wayne,Down
42,La Roux,Bulletproof
43,Jason Derulo,Whatcha Say
44,Justin Bieber Featuring Ludacris,Baby
45,Adam Lambert,Whataya Want From Me
46,Taylor Swift,Mine
47,Rihanna,Only Girl (In The World)
48,Kris Allen,Live Like We're Dying
49,Rihanna Featuring Jeezy,Hard
50,Jay-Z + Mr. Hudson,Young Forever
51,Ke$ha Featuring 3OH!3,Blah Blah Blah
52,Trey Songz Featuring Nicki Minaj,Bottoms Up
53,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember
54,OneRepublic,All The Right Moves
55,Orianthi,According To You
56,Ludacris Featuring Nicki Minaj,My Chick Bad
57,Taylor Swift,You Belong With Me
58,The Black Eyed Peas,Meet Me Halfway
59,Ke$ha,Take It Off
60,Drake,Over
61,Neon Trees,Animal
62,Maroon 5,Misery
63,B.o.B Featuring Rivers Cuomo,Magic
64,Lady Gaga,Paparazzi
65,New Boyz Featuring Ray J,Tie Me Down
66,Nicki Minaj,Your Love
67,Miley Cyrus,Party In The U.S.A.
68,Chris Brown Featuring Tyga & Kevin McCall,Deuces
69,Britney Spears,3
70,Shontelle,Impossible
71,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever
72,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One
73,3OH!3 Featuring Ke$ha,My First Kiss
74,Kelly Clarkson,Already Gone
75,The Black Eyed Peas,Rock That Body
76,OneRepublic,Secrets
77,Selena Gomez & The Scene,Naturally
78,Alicia Keys,Un-Thinkable (I'm Ready)
79,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win
80,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes)
81,Sugarland,Stuck Like Glue
82,Usher Featuring Plies,Hey Daddy (Daddy's Home)
83,Usher,There Goes My Baby
84,Taylor Swift,Today Was A Fairytale
85,Timbaland Featuring Drake,Say Something
86,Beyonce,Sweet Dreams
87,Kings Of Leon,Use Somebody
88,Carrie Underwood,Undo It
89,Sean Kingston & Justin Bieber,Eenie Meenie
90,Lil Wayne Featuring Drake,Right Above It
91,Miranda Lambert,The House That Built Me
92,The Band Perry,If I Die Young
93,Paramore,The Only Exception
94,Lady Antebellum,American Honey
95,Sara Bareilles,King Of Anything
96,Daughtry,Life After You
97,Uncle Kracker,Smile
98,Cali Swag District,Teach Me How To Dougie
99,Alicia Keys,Try Sleeping With A Broken Heart
100,Jerrod Niemann,"Lover, Lover"
