rank,artist,song
1,Captain & Tennille,Love Will Keep Us Together
2,Glen Campbell,Rhinestone Cowboy
3,Elton John,Philadelphia Freedom
4,Freddy Fender,Before The Next Teardrop Falls
5,Frankie Valli,My Eyes Adored You
6,Grand Funk,Some Kind Of Wonderful
8,David Bowie,Fame
9,Neil Sedaka,Laughter In The Rain
10,Eagles,One Of These Nights
11,John Denver,Thank God I'm A Country Boy
12,Bee Gees,Jive Talkin'
13,Eagles,Best Of My Love
14,Minnie Riperton,Lovin' You
15,Carl Douglas,Kung Fu Fighting
16,The Doobie Brothers,Black Water
17,Sweet,Ballroom Blitz
18,B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
19,Tony Orlando & Dawn,He Don't Love You (Like I Love You)
20,Janis Ian,At Seventeen
21,Average White Band,Pick Up The Pieces
23,Labelle,Lady Marmalade
24,War,Why Can't We Be Friends?
25,Major Harris,Love Won't Let Me Wait
26,Stevie Wonder,Boogie On Reggae Woman
28,Helen Reddy,Angie Baby
30,Ozark Mountain Daredevils,Jackie Blue
31,Ohio Players,Fire
32,Pilot,Magic
33,Carpenters,Please Mr. Postman
34,America,Sister Golden Hair
35,Elton John,Lucy In The Sky With Diamonds
36,Barry Manilow,Mandy
37,Olivia Newton-John,Have You Never Been Mellow
38,Barry Manilow,Could It Be Magic
39,Harry Chapin,Cat's In The Cradle
40,Michael Murphey,Wildfire
43,10cc,I'm Not In Love
44,Billy Swan,I Can Help
45,"Hamilton, Joe Frank & Reynolds",Fallin' In Love
46,Morris Albert,Feelings
47,Linda Ronstadt,When Will I Be Loved
48,Sammy Johns,Chevy Van
49,Barry White,"You're The First, The Last, My Everything"
50,Olivia Newton-John,Please Mr. Please
51,Linda Ronstadt,You're No Good
53,The Blackbyrds,Walking In Rhythm
54,Gladys Knight And The Pips,The Way We Were/try To Remember
55,Melissa Manchester,Midnight Blue
56,Sugarloaf/Jerry Corbetta,"Don't Call Us, We'll Call You"
57,Phoebe Snow,Poetry Man
58,Ace,How Long
59,B.T. Express,Express
61,Styx,Lady
62,Grand Funk,Bad Time
63,Alice Cooper,Only Women Bleed
64,Carol Douglas,Doctor's Orders
66,Paul Anka with Odia Coates,One Man Woman/One Woman Man
67,Bad Company,Feel Like Makin' Love
68,James Taylor,How Sweet It Is (To Be Loved By You)
69,Orleans,Dance With Me
70,Average White Band,Cut The Cake
71,Gloria Gaynor,Never Can Say Goodbye
72,Paul Anka,I Don't Like To Sleep Alone
73,Donny & Marie Osmond,Morning Side Of The Mountain
75,Joe Simon,"Get Down, Get Down (Get On The Floor)"
76,Queen,Killer Queen
77,Eddie Kendricks,Shoeshine Boy
79,Electric Light Orchestra,Can't Get It Out Of My Head
80,Al Green,Sha-la-la (makes Me Happy)
81,America,Lonely People
82,Mike Post,Rockford Files
83,Tavares,It Only Takes A Minute
85,Ringo Starr,No No Song/snookeroo
87,Jethro Tull,Bungle In The Jungle
88,Leo Sayer,Long Tall Glasses (I Can Dance)
89,Ray Stevens,Misty
90,Elton John,Someone Saved My Life Tonight
91,Neil Sedaka,Bad Blood
92,Carpenters,Only Yesterday
94,Ringo Starr,Only You
95,Amazing Rhythm Aces,Third Rate Romance
96,Bachman-Turner Overdrive,You Ain't Seen Nothing Yet/Free Wheelin'
97,Frankie Valli,Swearin' To God
