rank,artist,song
1,Simon & Garfunkel,Bridge Over Troubled Water
2,Carpenters,(They Long To Be) Close To You
3,The Guess Who,American Woman/No Sugar Tonight
4,B.J. Thomas,Raindrops Keep Fallin' On My Head
5,Edwin Starr,War
6,Diana Ross,Ain't No Mountain High Enough
7,Jackson 5,I'll Be There
8,Rare Earth,Get Ready
9,The Beatles,Let It Be
10,Freda Payne,Band Of Gold
11,Three Dog Night,Mama Told Me (Not To Come)
12,Ray Stevens,Everything Is Beautiful
13,Bread,Make It With You
14,Vanity Fare,Hitchin' A Ride
15,Jackson 5,ABC
16,Jackson 5,The Love You Save/I Found That Girl
17,Neil Diamond,Cracklin' Rosie
18,Dawn,Candida
22,Norman Greenbaum,Spirit In The Sky
23,Melanie with The Edwin Hawkins Singers,Lay Down (Candles In The Rain)
24,The Temptations,Ball Of Confusion (That's What The World Is Today)
26,Free,All Right Now
28,Jackson 5,I Want You Back
29,Bobby Sherman,"Julie, Do Ya Love Me"
30,Sugarloaf,Green-Eyed Lady
32,Blues Image,Ride Captain Ride
34,John Ono Lennon,Instant Karma (We All Shine On)
35,Clarence Carter,Patches
36,Creedence Clearwater Revival,Lookin' Out My Back Door/Long As I Can See The Light
37,Brook Benton,Rainy Night In Georgia
39,Chairmen Of The Board,Give Me Just A Little More Time
40,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
42,Anne Murray,SNOWBIRD
44,Eddie Holman,Hey There Lonely Girl
48,Badfinger,Come And Get It
51,Tyrone Davis,Turn Back The Hands Of Time
53,Mungo Jerry,In The Summertime
54,R. Dean Taylor,Indiana Wants Me
55,Rare Earth,(I Know) I'm Losing You
56,Bobby Sherman,"Easy Come, Easy Go"
58,Four Tops,Still Water (Love)
59,Chicago,Make Me Smile
60,Frijid Pink,House Of The Rising Sun
61,Chicago,25 Or 6 To 4
62,White Plains,My Baby Loves Lovin'
64,Brotherhood Of Man,United We Stand
65,Carpenters,We've Only Just Begun
66,Mark Lindsay,Arizona
67,James Taylor,Fire And Rain
68,Gene Chandler,Groovy Situation
69,Santana,Evil Ways
70,The Guess Who,No Time
72,Elvis Presley,The Wonder Of You/Mama Liked The Roses
73,Creedence Clearwater Revival,Up Around The Bend/Run Through The Jungle
75,B.J. Thomas,I Just Can't Help Believing
78,Mountain,Mississippi Queen
79,Ike & Tina Turner & The Ikettes,I Want To Take You Higher
83,Christie,Yellow River
84,100 Proof Aged in Soul,Somebody's Been Sleeping
87,Robin McNamara,Lay A Little Lovin' On Me
88,The Supremes,Up The Ladder To The Roof
89,Creedence Clearwater Revival,Travelin' Band/Who'll Stop The Rain
91,The Temptations,Psychedelic Shack
92,Tom Jones,Without Love (There Is Nothing)
94,"Crosby, Stills, Nash & Young",Woodstock
95,Dionne Warwick,I'll Never Fall In Love Again
98,B.B. King,The Thrill Is Gone
99,Glen Campbell,It's Only Make Believe
100,Aretha Franklin,Call Me
