rank,artist,song
1,The Weeknd,Blinding Lights
2,Post Malone,Circles
3,Roddy Ricch,The Box
4,Dua Lipa,Don't Start Now
5,DaBaby Featuring Roddy Ricch,Rockstar
6,Harry Styles,Adore You
7,Future Featuring Drake,Life Is Good
8,Maroon 5,Memories
9,Maren Morris,The Bones
10,Lewis Capaldi,Someone You Loved
11,Doja Cat,Say So
12,Gabby Barrett Featuring Charlie Puth,I Hope
13,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin
14,Tones And I,Dance Monkey
15,Megan Thee Stallion,Savage
16,Arizona Zervas,Roxanne
17,Justin Bieber Featuring Quavo,Intentions
18,Billie Eilish,Everything I Wanted
19,SAINt JHN,Roses
20,Harry Styles,Watermelon Sugar
21,Lewis Capaldi,Before You Go
22,Trevor Daniel,Falling
23,Dan + Shay & Justin Bieber,"10,000 Hours"
24,Cardi B Featuring Megan Thee Stallion,WAP
25,Mustard & Roddy Ricch,Ballin'
26,blackbear,Hot Girl Bummer
27,Lil Mosey,Blueberry Faygo
28,The Weeknd,Heartless
29,DaBaby,BOP
30,Selena Gomez,Lose You To Love Me
31,Lizzo,Good As Hell
32,Drake,Toosie Slide
33,Dua Lipa,Break My Heart
34,Morgan Wallen,Chasin' You
35,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
36,Chris Brown Featuring Drake,No Guidance
37,Camila Cabello Featuring DaBaby,My Oh My
38,BTS,Dynamite
39,Chris Brown & Young Thug,Go Crazy
40,Roddy Ricch Featuring Mustard,High Fashion
41,Drake Featuring Lil Durk,Laugh Now Cry Later
42,Lil Baby,Woah
43,Powfu Featuring beabadoobee,Death Bed
44,Shawn Mendes & Camila Cabello,Senorita
45,Travis Scott,HIGHEST IN THE ROOM
46,Billie Eilish,Bad Guy
47,24kGoldn Featuring iann dior,Mood
48,Lady Gaga & Ariana Grande,Rain On Me
49,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
50,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)
51,Rod Wave,Heart On Ice
52,Blake Shelton Duet With Gwen Stefani,Nobody But You
53,SHAED,Trampoline
54,Juice WRLD x Marshmello,Come & Go
55,Lizzo,Truth Hurts
56,JP Saxe Featuring Julia Michaels,If The World Was Ending
57,Lil Baby & 42 Dugg,We Paid
58,Justin Bieber,Yummy
59,Old Dominion,One Man Band
60,Jason Aldean,Got What I Got
61,Surfaces,Sunday Best
62,Eminem Featuring Juice WRLD,Godzilla
63,Juice WRLD & YoungBoy Never Broke Again,Bandit
64,StaySolidRocky,Party Girl
65,Maddie & Tae,Die From A Broken Heart
66,DJ Khaled Featuring Drake,Popstar
67,Mariah Carey,All I Want For Christmas Is You
68,Lee Brice,One Of Them Girls
69,Sam Hunt,Hard To Forget
70,Luke Bryan,One Margarita
71,Lil Nas X,Panini
72,Young Thug Featuring Gunna,Hot
73,Carly Pearce & Lee Brice,I Hope You're Happy Now
74,Lil Baby,Emotionally Scarred
75,YNW Melly & Juice WRLD,Suicidal
76,Lil Baby,The Bigger Picture
77,Jonas Brothers,Only Human
78,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo
79,Lil Baby,Sum 2 Prove
80,Ariana Grande & Justin Bieber,Stuck With U
81,Pop Smoke Featuring Lil Tjay,Mood Swings
82,Halsey,You Should Be Sad
83,Pop Smoke,Dior
84,BENEE Featuring Gus Dapperton,Supalonely
85,Luke Combs,Even Though I'm Leaving
86,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts
87,Doja Cat & Tyga,Juicy
88,Kane Brown With Swae Lee & Khalid,Be Like That
89,Kane Brown,Homesick
90,Rod Wave Featuring ATR Son Son,Rags2Riches
91,Miranda Lambert,Bluebird
92,Juice WRLD,Wishing Well
93,Luke Combs Featuring Eric Church,Does To Me
94,Jhene Aiko,P*$$y Fairy (OTW)
95,surf mesa Featuring Emilee,ily
96,Morgan Wallen,More Than My Hometown
97,Luke Combs,Lovin' On You
98,Moneybagg Yo,Said Sum
99,H.E.R. Featuring YG,Slide
100,NLE Choppa Featuring Roddy Ricch,Walk Em Down
